NodeNo,ParentNodeNo
1,-1
2,-1
3,-1
4,-1
5,-1
6,1
7,1
8,2
9,2
10,3
11,3
12,4
13,4
14,5
15,5
16,6
17,6
18,7
19,7
20,8
21,8
22,9
23,9
24,10
25,10
26,11
27,11
28,12
29,12
30,13
31,13
32,14
33,14
34,15
35,15
36,16
37,16
38,17
39,17
40,18
41,18
42,19
43,19
44,20
45,20
46,21
47,21
48,22
49,22
50,23
51,23
52,24
53,24
54,25
55,25
56,26
57,26
58,27
59,27
60,28
61,28
62,29
63,29
64,30
65,30
66,31
67,31
68,32
69,32
70,33
71,33
72,34
73,34
74,35
75,35
76,36
77,36
78,37
79,37
80,38
81,38
82,39
83,39
84,40
85,40
86,41
87,41
88,42
89,42
90,43
91,43
92,44
93,44
94,45
95,45
96,46
97,46
98,47
99,47
100,48
101,48
102,49
103,49
104,50
105,50
106,51
107,51
108,52
109,52
110,53
111,53
112,54
113,54
114,55
115,55
116,56
117,56
118,57
119,57
120,58
121,58
122,59
123,59
124,60
125,60
126,61
127,61
128,62
129,62
130,63
131,63
132,64
133,64
134,65
135,65
136,66
137,66
138,67
139,67
140,68
141,68
142,69
143,69
144,70
145,70
146,71
147,71
148,72
149,72
150,73
151,73
152,74
153,74
154,75
155,75
