start,end,content,index
141.250000,320.187500,she,0
320.187500,538.125000,had,1
538.125000,655.000000,your,2
655.000000,968.625000,dark,3
968.625000,1294.375000,suit,4
1294.375000,1438.625000,in,5
1438.625000,1828.875000,greasy,6
1828.875000,2188.000000,wash,7
2188.000000,2537.812500,water,8
2537.812500,2738.812500,all,9
2738.812500,3017.250000,year,10
3328.250000,3499.375000,don't,11
3499.375000,3827.500000,ask,12
3827.500000,3927.500000,me,13
3927.500000,4022.500000,to,14
4022.500000,4401.437500,carry,15
4401.437500,4474.562500,an,16
4474.562500,4832.500000,oily,17
4832.500000,5187.500000,rag,18
5187.500000,5391.062500,like,19
5391.062500,5712.500000,that,20
7019.375000,7242.500000,she,21
7242.500000,7452.500000,had,22
7413.125000,7537.500000,your,23
7537.500000,7845.000000,dark,24
7845.000000,8191.875000,suit,25
8191.875000,8323.312500,in,26
8323.312500,8684.562500,greasy,27
8684.562500,9084.062500,wash,28
9130.000000,9380.312500,water,29
9478.125000,9676.562500,all,30
9676.562500,10021.250000,year,31
10310.000000,10487.500000,don't,32
10487.500000,10752.500000,ask,33
10752.500000,10917.500000,me,34
10917.500000,10997.500000,to,35
10997.500000,11337.312500,carry,36
11337.312500,11422.500000,an,37
11422.500000,11697.625000,oily,38
11697.625000,12016.562500,rag,39
12016.562500,12220.000000,like,40
12220.000000,12592.312500,that,41
