NodeNo,g50_250,g50_500,g50_1000,g50_2000,g50_4000,g50_6000,g80_250,g80_500,g80_1000,g80_2000,g80_4000,g80_6000,g65_250,g65_500,g65_1000,g65_2000,g65_4000,g65_6000,CR_250,CR_500,CR_1000,CR_2000,CR_4000,CR_6000,kneelow_250,kneelow_500,kneelow_1000,kneelow_2000,kneelow_4000,kneelow_6000,mpoband_250,mpoband_500,mpoband_1000,mpoband_2000,mpoband_4000,mpoband_6000,audiogram_500,audiogram_1000,audiogram_2000,audiogram_3000,audiogram_4000,audiogram_6000,audiogram_8000,cal_g65_250,cal_g65_500,cal_g65_1000,cal_g65_2000,cal_g65_4000,cal_g65_6000,cal_CR_250,cal_CR_500,cal_CR_1000,cal_CR_2000,cal_CR_4000,cal_CR_6000,cal_kneelow_250,cal_kneelow_250,cal_kneelow_1000,cal_kneelow_2000,cal_kneelow_4000,cal_kneelow_6000
1,0,0,0,7.10543E-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,52,52,52,52,52,52,82.5001,87.6075,87.8695,91.3527,92.6797,93.3285,8.29788,5.23345,5.28549,5.45667,6.47549,11.1226,9.1788,8,5,1,4,6,7,1,1,1.123,1.163,1.24,0.9,20,25,30,30,35,40
2,0,0,0.726639,1.49308,4.96834,4.77161,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.02482,1.05238,1.19848,1.18914,52,52,52,52,52,52,83.7905,89.0269,89.6537,93.2019,95.6148,97.2877,13.4593,11.2815,12.1344,15.2158,18.7051,25.9376,25.6753,8,5,1,4,6,7,1,1,1.15087286,1.22391794,1.4861152,1.070226,20,25,30,30,35,40
3,0.528061,0.919955,4.55458,5.8332,10.9204,11.3411,0,0,0,0,0,0,0,0,1.85177,0,3.43515,4.71785,1.01792,1.03164,1.17899,1.24137,1.57236,1.60781,52,52,52,52,52,52,84.7137,90.0425,91.0588,95.2301,99.1932,101.752,17.1522,16.0448,19.6463,27.7164,33.6149,39.9567,44.2776,8,5,2.85177,4,9.43515,11.71785,1.01792,1.03164,1.32400577,1.44371331,1.9497264,1.447029,20,25,30,30,35,40
4,3.85274,4.04987,10.6817,11.9122,17.0431,17.5322,0,0,0,0,0,2.37991,0,0,5.72954,3.94361,7.85956,9.6049,1.14735,1.15606,1.55293,1.65857,2.31537,2.02051,52,52,52,52,52,52,86.1411,91.6126,93.2749,98.3991,103.212,109.961,22.8617,23.557,31.3832,42.4093,50.3607,60.5551,68.1888,8,5,6.72954,7.94361,13.85956,16.6049,1.14735,1.15606,1.74394039,1.92891691,2.8710588,1.818459,20,25,30,30,35,40
5,5.94909,6.25696,14.2046,16.2896,21.5417,21.9339,0,0,0,0,2.77779,5.85528,0.0847686,0,6.98012,6.92143,12.2224,13.7793,1.24735,1.26353,1.89929,2.18812,2.66998,2.15497,52,52,52,52,52,52,87.7645,93.3984,95.5685,101.634,108.707,120.01,29.3554,31.3319,43.3654,56.2429,65.7051,79.5691,88.0876,8.0847686,5,7.98012,10.92143,18.2224,20.7793,1.24735,1.26353,2.13290267,2.54478356,3.3107752,1.939473,20,25,30,30,35,40
6,0,0,0,7.10543E-15,0.907276,0.244371,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1.03119,1.00821,52,52,52,52,52,52,83.1184,88.2877,88.7515,92.2333,93.8057,94.5333,10.771,8.22342,8.5471,9.73754,11.1668,15.4382,14.1987,8,5,1,4,6,7,1,1,1.123,1.163,1.2786756,0.907389,20,25,30,30,35,40
7,0,0,0,7.10543E-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,52,52,52,52,52,52,81.9538,87.0066,87.0901,90.5745,91.6848,92.2639,6.11248,2.59132,2.40332,1.67381,2.32994,7.30905,4.7429,8,5,1,4,6,7,1,1,1.123,1.163,1.24,0.9,20,25,30,30,35,40
8,0.121384,0.46964,3.4744,4.94739,7.72729,7.36899,0,0,0,0,0,0,0,0,0.77263,0,1.06484,1.59844,1.00406,1.0159,1.13098,1.19748,1.34694,1.32561,52,52,52,52,52,52,84.5488,89.8612,90.9721,94.8215,97.2545,97.6727,16.4929,15.7509,18.1328,22.3507,25.537,27.2928,27.2794,8,5,1.77263,4,7.06484,8.59844,1.00406,1.0159,1.27009054,1.39266924,1.6702056,1.193049,20,25,30,30,35,40
9,0,0,0,7.10543E-15,2.36416,2.25426,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1.08555,1.08125,52,52,52,52,52,52,83.1354,88.3064,88.5149,91.8031,94.1986,96.9552,10.8391,7.42109,6.95343,9.05312,12.8041,24.7671,24.2898,8,5,1,4,6,7,1,1,1.123,1.163,1.346082,0.973125,20,25,30,30,35,40
10,1.53652,1.81084,7.57068,10.4751,15.0174,15.028,0,0,0,0,0,0,0,0,3.48779,2.79662,6.48267,7.79161,1.05398,1.06424,1.33753,1.5365,2.00232,2.00375,52,52,52,52,52,52,85.5249,90.9348,92.4254,97.2988,101.794,101.794,20.3971,20.6771,27.3079,39.5475,44.4499,44.4368,44.4499,8,5,4.48779,6.79662,12.48267,14.79161,1.05398,1.06424,1.50204619,1.7869495,2.4828768,1.803375,20,25,30,30,35,40
