start,end,content,index
147.500000,282.500000,she,0
282.500000,503.312500,had,1
503.312500,572.500000,your,2
572.500000,843.750000,dark,3
843.750000,1072.500000,suit,4
1072.500000,1221.750000,in,5
1221.750000,1587.875000,greasy,6
1587.875000,1890.187500,wash,7
1922.625000,2200.312500,water,8
2200.312500,2375.937500,all,9
2375.937500,2642.500000,year,10
2983.750000,3102.500000,don't,11
3102.500000,3326.250000,ask,12
3326.250000,3441.187500,me,13
3441.187500,3527.500000,to,14
3527.500000,3865.875000,carry,15
3865.875000,3956.625000,an,16
3956.625000,4304.500000,oily,17
4304.500000,4650.000000,rag,18
4650.000000,4858.187500,like,19
4858.187500,5088.375000,that,20
5390.750000,5582.750000,she,21
5582.750000,5897.250000,had,22
5841.125000,5959.937500,your,23
5959.937500,6243.437500,dark,24
6243.437500,6718.750000,suit,25
6718.750000,6855.500000,in,26
6855.500000,7241.937500,greasy,27
7241.937500,7620.500000,wash,28
7677.937500,8053.937500,water,29
8206.750000,8390.437500,all,30
8390.437500,8761.187500,year,31
9221.125000,9351.125000,don't,32
9351.125000,9611.125000,ask,33
9611.125000,9691.125000,me,34
9691.125000,9786.125000,to,35
9786.125000,10191.312500,carry,36
10191.312500,10289.625000,an,37
10289.625000,10626.437500,oily,38
10626.437500,10937.187500,rag,39
10937.187500,11122.562500,like,40
11122.562500,11464.875000,that,41
